epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,3321.4,0.45383,0.39861,0.87194,0.9885,0.97281,0.98928,0.90837,0.40254,0.35763,0.84686,0.000396071,0.000396071,0.000396071
54,3384.31,0.45288,0.39654,0.87465,0.98671,0.96334,0.98898,0.9039,0.40229,0.35969,0.83993,0.000382323,0.000382323,0.000382323
55,3446.99,0.47107,0.40419,0.87771,0.98771,0.96672,0.98877,0.90871,0.39073,0.35423,0.83928,0.000368574,0.000368574,0.000368574
56,3509.96,0.47055,0.40727,0.87437,0.99301,0.97434,0.99089,0.90366,0.40114,0.34933,0.84409,0.000354826,0.000354826,0.000354826
57,3572.58,0.46,0.40051,0.87513,0.99357,0.97057,0.99099,0.90661,0.39628,0.3475,0.83952,0.000341077,0.000341077,0.000341077
58,3635.31,0.45388,0.38909,0.87334,0.99301,0.97044,0.99045,0.9072,0.40473,0.35,0.84681,0.000327328,0.000327328,0.000327328
59,3697.62,0.43915,0.38439,0.86972,0.9953,0.96965,0.99054,0.90719,0.40634,0.34659,0.84737,0.00031358,0.00031358,0.00031358
60,3760.15,0.4495,0.38758,0.86811,0.99018,0.97065,0.98993,0.90797,0.40136,0.34576,0.84498,0.000299831,0.000299831,0.000299831
61,3822.97,0.45695,0.39025,0.86719,0.99339,0.97109,0.99013,0.91317,0.39499,0.34191,0.84411,0.000286083,0.000286083,0.000286083
62,3886.12,0.43903,0.38067,0.86667,0.98754,0.96765,0.99024,0.91231,0.3923,0.34144,0.84174,0.000272334,0.000272334,0.000272334
63,3948.64,0.44657,0.38761,0.86788,0.9916,0.97424,0.99063,0.90977,0.39063,0.33831,0.84063,0.000258585,0.000258585,0.000258585
64,4011.18,0.4417,0.38419,0.86607,0.98351,0.97332,0.99021,0.9107,0.38914,0.34282,0.84256,0.000244837,0.000244837,0.000244837
65,4073.14,0.43538,0.38036,0.8717,0.99215,0.96265,0.98971,0.90873,0.39426,0.34819,0.84788,0.000231088,0.000231088,0.000231088
66,4135.7,0.42671,0.37894,0.86883,0.99118,0.96928,0.9895,0.91098,0.38899,0.34246,0.84389,0.000217339,0.000217339,0.000217339
67,4198.62,0.44612,0.37761,0.86572,0.99608,0.97252,0.98984,0.90856,0.38283,0.33694,0.83984,0.000203591,0.000203591,0.000203591
68,4260.97,0.44184,0.38185,0.86696,0.99456,0.97314,0.99012,0.91101,0.38202,0.33702,0.83919,0.000189842,0.000189842,0.000189842
69,4323.92,0.43022,0.37327,0.8655,0.99294,0.97483,0.99013,0.91473,0.38051,0.33425,0.83902,0.000176094,0.000176094,0.000176094
70,4386.55,0.42505,0.37529,0.86839,0.99235,0.97111,0.98997,0.91331,0.38055,0.33126,0.84083,0.000162345,0.000162345,0.000162345
71,4447.07,0.38039,0.34576,0.8427,0.99056,0.97332,0.9902,0.91398,0.38208,0.33771,0.84066,0.000148596,0.000148596,0.000148596
72,4507.41,0.38561,0.35033,0.83961,0.99532,0.97411,0.98986,0.91249,0.38267,0.33487,0.84174,0.000134848,0.000134848,0.000134848
73,4568.64,0.37853,0.33984,0.83405,0.99581,0.97411,0.99022,0.91638,0.37986,0.33525,0.83848,0.000121099,0.000121099,0.000121099
74,4629.48,0.37591,0.34147,0.83662,0.99525,0.97413,0.99133,0.91283,0.37849,0.33462,0.83976,0.00010735,0.00010735,0.00010735
75,4690.66,0.36909,0.33549,0.83153,0.99558,0.97307,0.99083,0.91098,0.3776,0.3335,0.84053,9.36017e-05,9.36017e-05,9.36017e-05
76,4750.85,0.36562,0.33033,0.83777,0.99575,0.97389,0.99077,0.91354,0.37581,0.33025,0.83916,7.98531e-05,7.98531e-05,7.98531e-05
77,4811.7,0.36599,0.32904,0.83142,0.99667,0.97326,0.99162,0.9173,0.37478,0.32816,0.83639,6.61045e-05,6.61045e-05,6.61045e-05
78,4871.86,0.35549,0.32304,0.82653,0.99608,0.97351,0.99053,0.91515,0.37286,0.3281,0.83702,5.23559e-05,5.23559e-05,5.23559e-05
79,4932.33,0.36032,0.32429,0.83241,0.9967,0.97349,0.99086,0.916,0.37351,0.32793,0.8371,3.86073e-05,3.86073e-05,3.86073e-05
80,4992.93,0.36286,0.32374,0.83162,0.99725,0.97316,0.99094,0.91718,0.37341,0.3281,0.83702,2.48586e-05,2.48586e-05,2.48586e-05
